,Joke,label
0,Insanity is hereditary - You get it from your children.,1
1,An honest politician is one who when bought stays bought.,1
2,You can tune a piano but you can't tuna fish.,1
3,A closed mouth gathers no foot.,1
4,What's black and white and red all over?  An embarassed zebra.,1
5,What's black and white and red all over?  Certainly not the Halifax newspapers.,1
6,Gravity doesn't exist: the earth sucks.,1
7,What's the most popular form of birth control?  The headache.,1
8,He who laughs last probably doesn't understand the joke.,1
9,Let him who takes the plunge remember to return it by Tuesday.,1
10,A Smith and Wesson beats four aces.,1
11,Don't worry if you're a kleptomaniac you can always take something for it.,1
12,Help the police - beat yourself up.,1
13,Avoid the christmas chaos - go to church on sundays.,1
14,There are two kinds of persons: The one that divide all people in two part and then the other that don't.,1
15,"Seen in U.S.S.R:  ""The last person to leave the country is asked to turn the ligths off.""",1
16,Wanna be realy stoned?  Drink wet cement.,1
17,Keep death off the roads.  Drive on the pavement.,1
18,Dead men are simple very cool.,1
19,Sigarettes are the main reason for statistics.,1
20,"Advertisment from British Airways:  ""Breakfast in London Lunch in New-York and luggage in Berlin""",1
21,Do you know why surgeons use masks? It is to be not recognised again.,1
22,Vegetarians eat vegetables;I'm a humanitarian,1
23,"""Socrates died from an overdose of wedlock.""",1
24,A women was in love with fourteen soldiers it platoonic.,1
25,"Max told his friend he didn't want to go for a hike in the hills.  ""I'm an anti-climb Max.""",1
26,A new wagon designed for LA rush hour traffic is called the Stationary wagon.,1
27,An Uncle died left several hundred clocks to a niece she's busy winding up the estate.,1
28,Two cheerleaders ended up married they met by chants.,1
29," Two cans of paint got married later the bride whispered ""Darling I think I'm pigment.""",1
30,Two boy silkworms pursued a luscious girl silkworm. They ended up in a tie.,1
31,"A doctor told the boy ""This injection won't hurt a bit.""  That's an MD promise.",1
32,Advice to ice skaters: You can't always tell a brook by its cover.,1
33,A guru hops around often he's known as the Kan Guru.,1
34,A hermit was arrested after driving a hundred miles an hour the charge was recluse driving.,1
35,What do they call a man who builds twenty boats a month? Sir Launchalot.,1
36,"WHY DO MORONS ONLY GO TO MOVIES IN GROUPS OF 17 OR MORE? BECAUSE THE SIGN OUTSIDE STATES "" UNDER SEVENTEEN NOT ADMITED! """,1
37,Did you hear about the Scottish Kamikaze pilot? He crashed his plane in his brother's junkyard.,1
38,What do 32 Iraqi women in one place have? A full set of teeth!,1
39,"HOW DO YOU CLEAR OUT AND IRAQI BINGO HALL? CALL OUT ""B-52"".",1
40,DID YOU HEAR ABOUT THE NEW BAGHDAD ROCK GROUP? NO KIDS ON THE BLOCK.,1
41,Did you hear the one about the lion who ate the lawyer? Had to lick his butt afterwards to get rid of the taste!,1
42,Did you hear which major department store is considering opening a couple of stores in Iraq? TARGET!,1
