model_name,Task 1 / RMSE,Task 2 / Acc,Task 2 / Reward
CBOW,0.541296,0.606545,0.187976
CBOW+Orig,0.558408,0.595129,0.163775
CBOW+FunLines,0.541291,0.603881,0.187976
CBOW+Orig+FunLines,0.561976,0.598173,0.170244
CBOW+FT,0.546488,0.597412,0.17519
CBOW+FT+Orig,0.555794,0.595129,0.170015
CBOW+FT+FunLines,0.54524,0.608067,0.185388
CBOW+FT+Orig+FunLines,0.555632,0.599315,0.170852
BERT,0.530438,0.627093,0.226865
BERT+Orig,0.534579,0.607686,0.192085
BERT+FunLines,0.532229,0.61758,0.211644
BERT+Orig+FunLines,0.536008,0.610731,0.199848
BERT+FT,0.53611,0.642694,0.249543
BERT+FT+Orig,0.535069,0.619483,0.213775
BERT+FT+FunLines,0.541953,0.637367,0.234323
BERT+FT+Orig+FunLines,0.543396,0.625951,0.224505
RoBERTa,0.527525,0.624429,0.232344
RoBERTa+Orig,0.533495,0.623288,0.220624
RoBERTa+FunLines,0.529735,0.636225,0.242161
RoBERTa+Orig+FunLines,0.536939,0.612253,0.209056
RoBERTa+FT,0.532103,0.642314,0.246652
RoBERTa+FT+Orig,0.529767,0.643075,0.242466
RoBERTa+FT+FunLines,0.523879,0.648021,0.252664
RoBERTa+FT+Orig+FunLines,0.524926,0.63204,0.230137
